               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.028557,             0.01978,           0.0014159,             0.91585,             0.80937,             0.86376,               0.542,             0.03168,            0.020615,           0.0059982,            0.001389,            0.001389,            0.001389
                 106,            0.028314,            0.019153,           0.0014138,             0.89962,             0.81499,             0.85928,             0.54241,            0.032064,            0.020867,           0.0062521,           0.0013425,           0.0013425,           0.0013425
                 107,            0.028444,            0.019006,           0.0013056,             0.89632,              0.8192,             0.86397,             0.54644,             0.03201,            0.020976,           0.0058777,           0.0012989,           0.0012989,           0.0012989
                 108,            0.028111,            0.019415,           0.0013155,             0.90282,             0.80774,             0.86117,              0.5439,            0.031773,            0.020846,           0.0064966,           0.0012581,           0.0012581,           0.0012581
                 109,            0.028162,              0.0198,           0.0013547,             0.89243,             0.81858,             0.86303,             0.54138,            0.031943,            0.021066,           0.0062735,           0.0012202,           0.0012202,           0.0012202
                 110,            0.027899,            0.018847,           0.0012071,             0.90783,             0.80336,             0.85988,             0.54378,            0.031741,             0.02117,           0.0065581,           0.0011853,           0.0011853,           0.0011853
                 111,            0.028076,            0.018827,           0.0013441,             0.88424,             0.82409,             0.86359,              0.5397,            0.031668,            0.020978,            0.006324,           0.0011533,           0.0011533,           0.0011533
                 112,            0.027853,            0.018812,           0.0012112,             0.92416,             0.80003,             0.86533,             0.54044,            0.031684,            0.020859,           0.0062786,           0.0011243,           0.0011243,           0.0011243
                 113,            0.027781,            0.019189,           0.0011378,             0.88641,             0.81627,             0.86036,             0.53985,            0.031834,            0.021029,           0.0065184,           0.0010983,           0.0010983,           0.0010983
                 114,            0.028144,            0.019321,            0.001207,             0.92545,             0.79053,              0.8618,             0.54176,            0.031802,            0.021083,           0.0068576,           0.0010754,           0.0010754,           0.0010754
                 115,            0.028236,            0.019193,           0.0012008,             0.92169,             0.79432,             0.86273,             0.54136,            0.031634,            0.021109,           0.0065313,           0.0010554,           0.0010554,           0.0010554
                 116,            0.028044,            0.019783,           0.0011862,             0.88873,              0.8064,              0.8557,             0.54586,            0.031785,            0.021023,           0.0066759,           0.0010385,           0.0010385,           0.0010385
                 117,            0.028076,            0.019058,           0.0013448,             0.89051,             0.80836,             0.85546,             0.54131,            0.031749,            0.021117,           0.0069561,           0.0010247,           0.0010247,           0.0010247
                 118,            0.028591,            0.019116,           0.0012783,             0.90573,             0.80435,             0.85976,             0.54108,            0.031831,            0.021238,           0.0067223,           0.0010139,           0.0010139,           0.0010139
                 119,            0.028006,            0.019028,            0.001323,             0.91106,             0.80844,             0.86314,              0.5453,             0.03181,            0.020897,           0.0066289,           0.0010062,           0.0010062,           0.0010062
